,City,Country,Lat,Lng,Hotel Name
335,touros,BR,-5.2,-35.46,INN NEW HORIZON
336,kharan,PK,28.58,65.42,Ghani Hasrat House
337,christchurch,NZ,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
338,sidney,AU,-33.87,151.21,QT Sydney
339,koster,ZA,-25.86,26.9,Klub Kranskuil
340,merauke,ID,-8.47,140.33,
341,santo nino,EC,-0.59,-80.0,Estancia zursan
342,tres arroyos,IT,46.32,11.1,Hotel Rifugio Sores
343,cockburn town,AU,-32.08,141.0,Coburn Hotel
344,kloulklubed,PW,7.04,134.26,Storyboard Beach Resort
345,lokomotivnyy,RU,53.01,60.57,
346,taoudenni,ML,22.68,-3.98,
347,arcata,US,40.87,-124.08,"Hampton Inn & Suites Arcata, CA"
348,lata,PT,40.16,-8.33,Casa Maquia
349,harper,LR,4.38,-7.72,Screensaver
350,hovd,MN,48.01,91.64,Buyant Hotel
351,lobva,RU,59.19,60.52,
352,dalvik,IS,65.97,-18.53,Dalvík HI Hostel
353,prince rupert,CA,52.97,-108.38,
354,floro,NO,61.6,5.03,Kinn Hotell Florø
355,lasa,IT,46.62,10.7,Pension Feldgärtenhof
356,luderitz,,-26.65,15.16,LÜDERITZ NEST HOTEL
357,mustasaari,FI,63.11,21.68,Hotel Astor
358,sapele,NG,5.89,5.68,Movig Hotel & Suites
359,vaasa,FI,63.1,21.62,Hotel Astor
360,mys shmidta,RU,62.06,48.62,
361,bowling green,GB,55.93,-4.49,Ingliston Country Club and Hotel
362,turayf,SA,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
363,abalak,RU,58.13,68.59,Туристический комплекс Абалак
364,ochakiv,UA,46.61,31.55,Briz
365,maragogi,BR,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
366,puerto penasco,ES,36.59,-6.23,Hotel Campomar Playa
367,port lincoln,CD,-7.03,29.76,
368,terney,RU,45.05,136.61,"Hotel ""Ternay"""
369,oxbow,CA,49.23,-102.17,Bow Manor Motor Hotel
370,nizhniy kuranakh,RU,45.39,39.24,СТО CUMMINS
371,basco,PH,20.45,121.97,Nathaniel's Lodge
372,carnarvon,AU,-24.87,113.63,Hospitality Carnarvon
373,mehran,IR,33.12,46.16,بوتیک زنانه بهار
374,tuy hoa,PH,14.02,120.73,Villa Gavana Resort
375,port macquarie,CD,-7.03,29.76,
376,carbonear,CA,47.73,-53.21,Hotel Harbour Grace
377,ketchikan,US,55.34,-131.65,Snows Cove Lodge
378,rafai,CF,4.95,23.92,
379,indramayu,ID,-6.33,108.32,Grand Trisula Hotel
380,richards bay,US,46.84,-95.91,Americas Best Value Inn & Suites - Detroit Lakes MN
381,imeni poliny osipenko,NG,7.32,5.96,Dipo Resort
382,okato,NZ,-39.2,173.88,Goodin Country Garden
383,deputatskiy,RU,69.3,139.9,Baza Otdykha
384,galle,LK,6.04,80.22,Amangalla
385,zaozerne,UA,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
386,toledo,ES,39.83,-4.0,Hotel Carlos V Toledo
387,kavaratti,IN,10.57,72.64,Hotels in Lakshadweep Islands
388,tintigny,BE,49.68,5.51,Gauthier / Stany
389,longhua,CN,23.61,114.19,Huadu Hotel
390,axim,GH,4.87,-2.24,AXIM BEACH RESORT AND SPA
391,vila velha,PT,42.03,-8.16,Hotel Castrum Villae
392,bathsheba,BB,13.22,-59.52,Atlantis Hotel
393,terrace bay,CA,54.52,-128.6,Northern Motor Inn
394,alekseyevsk,RU,57.84,108.35,
395,broome,US,42.25,-75.83,Chenango Valley State Park
396,tabas,IR,33.6,56.92,شرکت معماری مهراز شایگان آراد
397,jequitinhonha,BR,-16.43,-41.0,Hotel Bela Vista
398,kokstad,ZA,-30.55,29.42,Majestic Bed and Breakfast
399,cabatuan,PH,10.88,122.49,ROREM'S BOARDING HOUSE
400,rockingham,US,42.97,-71.1,Iron Wheel Mobile Home Park
401,ikirun,NG,7.92,4.67,"De-Marvellous Guest House, Obaagun"
402,kalabo,ZM,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
403,yar-sale,RU,66.83,70.83,Yalemd
404,seon,CH,47.34,8.16,Eichberg
405,carmo do paranaiba,BR,-21.93,-42.61,Pousada do Carmo
406,sao joao da barra,IN,20.51,76.21,Saikrupa Lawns
407,anloga,GH,5.79,0.9,Pin Drop Hotel
408,francisco sa,US,38.33,-87.45,Tooley Mobile Home Park
409,sibolga,ID,1.74,98.78,Hotel Syariah CN Darussalam
410,manicore,BR,-5.81,-61.3,Pousada da wanda
411,saurimo,AO,-9.66,20.39,Hotel Kawissa Saurimo
412,limoeiro do ajuru,BR,-7.87,-35.45,Hotel das Oliveiras
413,daultala,PK,33.19,73.14,Waheed garmints and cosmetic
414,sinazongwe,ZM,-17.26,27.46,Lakeview Lodge
415,palmer,US,42.16,-72.33,Wedgewood Motel
416,mandurah,AU,-32.55,115.7,Atrium Hotel Mandurah
417,kemijarvi,FI,66.71,27.43,Hotelli Kemijärvi
418,mozelos,PT,41.87,-8.4,Casa do Rio Vez - Alojamento de Charme
419,tamasane,BW,-22.42,27.4,
420,zainsk,RU,55.32,52.07,Дельфин
421,antofagasta,CL,-23.65,-70.4,Holiday Inn Express Antofagasta
422,leh,IN,34.17,77.58,Hotel Ladakh Greens
423,ancud,CL,-41.87,-73.82,Hotel Arena Gruesa
424,katherine,AU,-14.47,132.27,Pine Tree Motel
425,vanavara,RU,60.34,102.28,
426,micheweni,TZ,-4.97,39.83,
427,methoni,GR,36.82,21.7,Methoni Beach Hotel
428,contai,IN,21.78,87.75,Hotel Hindusthan
429,lodja,CD,-3.48,23.43,
430,monterey,US,36.25,-121.25,
431,mmabatho,ZA,-25.85,25.63,Mahikeng Guest Apartments
432,filadelfia,US,39.95,-75.16,Loews Philadelphia Hotel
433,jalu,LY,29.03,21.55,صاحبة الفخامة
434,mus,TR,39.0,41.75,
435,skibbereen,IE,51.55,-9.27,The West Cork Hotel
436,jacqueville,CI,5.21,-4.41,Hotel Le Martin Pecheur
437,newport,GB,51.59,-3.0,ibis budget Newport
